keys,en,ar
day3_page2_topic3_col1,"Two electric generators were reported stolen from two different places yesterday. The authorities tried to trace them, but did not find any trace or evidence of them.","أُبلغ أمس عن سرقة مولدين كهربائيين من مكانين مختلفين. وحاولت السلطات تعقبهما، لكنها لم تجد أي أثر أو دليل عليهما.
"
day3_page2_topic4_title,SUPER SECRET TOPIC,موضوع سري للغاية
day3_page2_topic4_col1,"The man who disappeared two days ago returned this morning, and he seemed to be in a strange state of activity. He was asked about the smell he smelled on the edge of the city, but he denied it and said, “I don’t know what you are talking about.” He does not show any signs of kidnapping or torture!","عاد الرجل الذي اختفى قبل يومين هذا الصباح، وبدا أنه في حالة غريبة من النشاط. وسُئل عن الرائحة التي شمها على أطراف المدينة، لكنه أنكر الأمر وقال: «لا أعرف عما تتحدثون». ولم تظهر عليه أي علامات تدل على اختطافه أو تعرضه للتعذيب!
"
day3_page2_topic5_title,A Cat in The Bakery,قطة في المخبز
day3_page2_topic5_col1,"A stray ginger cat snuck into the town bakery before dawn and fell asleep right on top of a warm, unbaked sack of flour. The baker didn't have the heart to move him, so he baked around the cat and named the morning's sourdough batch after him.","تسللت قطة برتقالية شاردة إلى مخبز البلدة قبل الفجر، ونامت مباشرة فوق كيس دافئ من الدقيق غير المخبوز. ولم يملك الخباز قلبًا لتحريكها، لذلك خبز حول القطة وسمّى دفعة خبز العجين المخمر الصباحية باسمها.
"
day3_page3_topic1_title,Kidnapped Employees,الموظفون المختطفون
day3_page3_topic1_col1,One person claims that he saw the kidnapped workers at the time of their abduction but was unable to intervene; It was a large gang that kidnapped them. His neighbors say he is always making up stories to attract attention.,"يدّعي أحد الأشخاص أنه رأى العمال المختطفين وقت اختطافهم، لكنه لم يتمكن من التدخل. وقال إن عصابة كبيرة هي التي اختطفتهم. بينما يقول جيرانه إنه دائمًا ما يختلق القصص لجذب الانتباه.
"
day3_page3_topic2_title,A Prisoner Talk,حديث مع سجين
day3_page3_topic2_col1,"One of the prisoners at Ravenford Prison was asked about the prisoners who escaped the day before yesterday. He said that they had nothing in common. He explained that one of them was muscular, another was a surgeon, another was working in agriculture, and some ordinary people, and among them was a person who appeared crazy.","سُئل أحد السجناء في سجن رافنفورد عن السجناء الذين هربوا أول أمس. وقال إنهم لم يكن بينهم أي شيء مشترك. وأوضح أن أحدهم كان قوي البنية، وآخر كان جراحًا، وآخر كان يعمل في الزراعة، إلى جانب بعض الأشخاص العاديين، وكان من بينهم شخص بدا مجنونًا.
"
day3_page3_topic3_title,Some Strange Signal,إشارة غريبة
day3_page3_topic3_col1,"The town library's microfiche machine started picking up faint audio interference from an unknown AM radio signal late this afternoon. Patrons using the viewer reported hearing low static punctuated by what sounded like distant piano chords, though staff couldn't locate any transmitting device inside the building.","بدأ جهاز الميكروفيش في مكتبة البلدة يلتقط تشويشًا صوتيًا ضعيفًا من إشارة راديو AM مجهولة في وقت متأخر من بعد ظهر اليوم. وأفاد الزوار الذين كانوا يستخدمون الجهاز بسماع تشويش منخفض يتخلله ما بدا وكأنه نغمات بيانو بعيدة، لكن الموظفين لم يتمكنوا من تحديد موقع أي جهاز إرسال داخل المبنى.
"
day3_page3_topic4_title,A Big Laugh,ضحكة كبيرة
day3_page3_topic4_col1,"A citizen on Cemetery Street claimed to have heard loud laughter late, but when he looked out the window he found no one.","ادعى أحد المواطنين في شارع المقبرة أنه سمع ضحكات عالية في وقت متأخر من الليل، لكنه عندما نظر من النافذة لم يجد أحدًا.
"
day3_page3_topic5_title,Baseball,البيسبول
day3_page3_topic5_col1,"The annual adult baseball league opened its season at the community park tonight. The local hardware store’s team edged out the fire department’s squad 6 to 5, sealed by a sharp line drive to left field in the bottom of the seventh inning.",افتتح دوري البيسبول السنوي للكبار موسمه الليلة في حديقة المجتمع. وتمكن فريق متجر الأدوات المحلي من التغلب على فريق إدارة الإطفاء بنتيجة 6-5، بعد ضربة قوية إلى الحقل الأيسر في الجزء السفلي من الشوط السابع حسمت المباراة.
day4_page1_topic1_title,Road Construction,بناء الطريق
day4_page1_topic1_col1,"By mid-morning, the freshly paved main road was fully cleared of barriers, letting traffic flow smoothly through town again. Shopkeepers swept away construction dust and opened their doors, while the lingering smell of hot tar filled the late-summer air.",بحلول منتصف الصباح، أُزيلت الحواجز بالكامل من الطريق الرئيسي الذي تم رصفه حديثًا، مما سمح لحركة المرور بالانسياب بسلاسة عبر البلدة من جديد. كنس أصحاب المتاجر غبار البناء وفتحوا أبوابهم، بينما ملأت رائحة القطران الساخن المتبقية هواء أواخر الصيف.
day4_page1_topic1_col2,"Residents gathered at the hardware store and the nearby food trucks to swap stories about the weeks of detours. Down at town hall, clerks worked through a stack of newly filed business adjustment forms from affected vendors.",تجمع السكان عند متجر الأدوات وشاحنات الطعام القريبة لتبادل القصص حول أسابيع الطرق الالتفافية. وفي مبنى البلدية، كان الموظفون يعملون على مجموعة من استمارات تعديل أوضاع الأعمال التي قدمها التجار المتضررون حديثًا.
day4_page1_topic1_col3,"By late afternoon, the bank’s digital clock flickered and froze on a timestamp from three nights ago. Drivers at the traffic light heard a faint, high-pitched whine buzzing through their radios whenever the signal turned green.",تجمع السكان عند متجر الأدوات وشاحنات الطعام القريبة لتبادل القصص حول أسابيع الطرق الالتفافية. وفي مبنى البلدية، كان الموظفون يعملون على مجموعة من استمارات تعديل أوضاع الأعمال التي قدمها التجار المتضررون حديثًا.
day4_page1_topic2_title,Clockmaker,صانع الساعات
day4_page1_topic2_col1,"A retired clockmaker in town spent his afternoon attempting to fix an old brass barometer that arrived in the mail without a return address. Whenever he tapped the glass, the needle pointed firmly toward ""Storm,"" despite the dry, clear skies outside his window.",قضى صانع ساعات متقاعد في البلدة فترة بعد الظهر محاولًا إصلاح مقياس ضغط جوي نحاسي قديم وصل بالبريد دون عنوان للمرسل. وكلما طرق على الزجاج، كانت الإبرة تشير بثبات نحو كلمة «عاصفة»، رغم أن السماء في الخارج كانت جافة وصافية.
day4_page1_topic3_title,Schools Mini FIFA,بطولة FIFA المدرسية
day4_page1_topic3_col1,"Willowmere’s hallways buzzed with chatter over victory posters while Mapleton’s players walked straight home in silence. By late afternoon, the radio station broadcast ambient static instead of the sports recap, filling the high school parking lot with a low, rhythmic hum.",ضجت ممرات ويلو مير بالأحاديث حول ملصقات الفوز، بينما عاد لاعبو مابلتون إلى منازلهم مباشرة في صمت. وبحلول وقت متأخر من بعد الظهر، بثت محطة الراديو تشويشًا صوتيًا بدلًا من ملخص المباريات الرياضية، مما ملأ موقف المدرسة الثانوية بطنين منخفض وإيقاعي.
day4_page1_topic4_title,A Cassette,شريط كاسيت
day4_page1_topic4_col1,"An unmarked cassette left on the library counter played thirty seconds of dial-up screeching, followed by the soft sound of rain falling indoors.","شغّل شريط كاسيت مجهول المصدر تُرك على طاولة المكتبة صوت اتصال بالإنترنت عبر الهاتف لمدة ثلاثين ثانية، تبعه صوت هادئ لسقوط المطر داخل المبنى.
"
day4_page1_topic5_title,TheRedMoon,القمر الأحمر
day4_page1_topic5_col1,"And now the time of the awaited night has come, the red night of the moon. We await it tomorrow. Tomorrow we will see the red sky at night, so stay tuned for it!","والآن، لقد حان وقت الليلة المنتظرة، ليلة القمر الأحمر. نحن ننتظرها غدًا. غدًا سنرى السماء الحمراء في الليل، لذا ابقوا على اطلاع!
"
day4_page1_topic6_title,Weather Cast,نشرة الطقس
day4_page1_topic6_col1,"Clear skies held through noon as a crisp breeze swept down from the valley, sending dry leaves tumbling along the freshly paved Main Street. As shadows lengthened, a low static crackled across local car radios, accompanied by a sudden, faint scent of sweet pine floating through the autumn air.","استمرت السماء صافية حتى الظهر، بينما هبت نسمة باردة ومنعشة من الوادي، وحملت أوراقًا جافة تتدحرج على طول شارع مين الذي تم رصفه حديثًا. ومع امتداد الظلال، بدأ تشويش منخفض يتفرقع عبر أجهزة راديو السيارات المحلية، مصحوبًا برائحة حلوة وخافتة تشبه رائحة الصنوبر، انتشرت فجأة في هواء الخريف.
"
day4_page2_topic1_title,A Compassionate,الرحيمة
day4_page2_topic1_col1,"An elderly woman found a stray kitten asleep inside an old rotary phone sitting in her hallway. Whenever the bell gave its occasional faint chime, the kitten simply purred louder, content to stay curled inside the plastic receiver.","عثرت امرأة مسنة على قطة صغيرة شاردة نائمة داخل هاتف دوّار قديم كان موجودًا في ممر منزلها. وكلما أصدر جرس الهاتف رنينًا خافتًا من حين لآخر، كانت القطة تخرخر بصوت أعلى ببساطة، سعيدة بالبقاء ملتفة داخل سماعة الهاتف البلاستيكية.
"
day4_page2_topic2_title,Internet?,الإنترنت؟
day4_page2_topic2_col1,"A local hobbyist spent twenty minutes downloading a single text file about constellations from a distant bulletin board system, listening to the phone line screech and hum the entire time.",الإنترنت؟
day4_page2_topic3_title,Generators!,المولدات!
day4_page2_topic3_col1,Another generator was stolen from the electricity company last night. It was a luxury generator. What is the story of those stolen generators?,"سُرق مولد كهربائي آخر من شركة الكهرباء ليلة أمس. وكان مولدًا فاخرًا. ما قصة تلك المولدات المسروقة؟
"
day4_page2_topic4_title,Cemetery Street Mysteries,ألغاز شارع المقبرة
day4_page2_topic4_col1,"A citizen of one of our informants who lives on Cemetery Street reported seeing a strange shadow before dawn. He sat and watched it all night, and with the first white streak of sunlight it had disappeared.","أبلغ أحد المواطنين، وهو أحد مصادرنا الذين يعيشون في شارع المقبرة، عن رؤية ظل غريب قبل الفجر. جلس يراقبه طوال الليل، ومع ظهور أول خيط أبيض من ضوء الشمس، كان قد اختفى.
"
day4_page2_topic5_title,A Cat in The Bakery,قطة في المخبز
day4_page2_topic5_col1,"The town hardware store's resident tabby cat spent the entire morning purring atop a stack of warm copper pipes. Whenever a customer tried to reach for one, the owner simply offered them a free roll of electrical tape if they came back after the cat finished its nap.","قضت قطة البلدة المخططة المقيمة في متجر الأدوات طوال الصباح وهي تخرخر فوق كومة من الأنابيب النحاسية الدافئة. وكلما حاول أحد الزبائن أخذ أحدها، كان المالك يعرض عليه ببساطة لفة مجانية من الشريط الكهربائي إذا عاد بعد أن تنتهي القطة من قيلولتها.
"
day4_page3_topic1_title,Kidnapped Employees,الموظفون المختطفون
day4_page3_topic1_col1,"The claim of the person who claimed to have seen a gang kidnapping Raven Ford employees has been verified, and investigation revealed that he was in a town far from here on the day of the incident.","تم التحقق من ادعاء الشخص الذي زعم أنه رأى عصابة تختطف موظفي رافنفورد، وكشف التحقيق أنه كان في بلدة بعيدة عن هنا في يوم وقوع الحادث.
"
day4_page3_topic2_title,A Prisoner Talk,حديث مع سجين
day4_page3_topic2_col1,"Another prisoner was asked about the prison atmosphere before the controversial escape took place. He said that the atmosphere was normal throughout the week before the escape, but two days before the escape there was a person laughing hysterically at night. I do not know who he was, but it stopped after the day of the escape.","سُئل سجين آخر عن أجواء السجن قبل وقوع حادثة الهروب المثيرة للجدل. وقال إن الأجواء كانت طبيعية طوال الأسبوع الذي سبق الهروب، لكن قبل الهروب بيومين، كان هناك شخص يضحك بشكل هستيري في الليل. لا أعرف من كان، لكن ذلك توقف بعد يوم الهروب.
"
day4_page3_topic3_title,FloorboardsFrequency,تردد ألواح الأرضية
day4_page3_topic3_col1,"The town library's microfiche machine started picking up faint audio interference from an unknown AM radio signal late this afternoon. Patrons using the viewer reported hearing low static punctuated by what sounded like distant piano chords, though staff couldn't locate any transmitting device inside the building.",بدأ جهاز الميكروفيش في مكتبة البلدة يلتقط تشويشًا صوتيًا ضعيفًا من إشارة راديو AM مجهولة في وقت متأخر من بعد ظهر اليوم. وأفاد الزوار الذين كانوا يستخدمون الجهاز بسماع تشويش منخفض يتخلله ما بدا وكأنه نغمات بيانو بعيدة، لكن الموظفين لم يتمكنوا من تحديد موقع أي جهاز إرسال داخل المبنى.
day4_page3_topic4_title,SilverSurface,السطح الفضي
day4_page3_topic4_col1,"At midnight, the public pool's filtration system hummed a low tone that matched the town's emergency sirens. By morning, a thin layer of fine silver dust coated the water.",عند منتصف الليل، أصدر نظام تنقية المياه في المسبح العام نغمة منخفضة تطابقت مع نغمات صفارات الطوارئ في البلدة. وبحلول الصباح، غطت طبقة رقيقة من غبار فضي ناعم سطح الماء.
day4_page3_topic5_title,Marathoon,الماراثون
day4_page3_topic5_col1,"The annual adult baseball league opened its season at the community park tonight. The local hardware store’s team edged out the fire department’s squad 6 to 5, sealed by a sharp line drive to left field in the bottom of the seventh inning.","افتتح دوري البيسبول السنوي للكبار موسمه الليلة في حديقة المجتمع. وتمكن فريق متجر الأدوات المحلي من التغلب على فريق إدارة الإطفاء بنتيجة 6-5، بعد ضربة قوية إلى الحقل الأيسر في الجزء السفلي من الشوط السابع حسمت المباراة.
"
day5_page1_topic1_title,Road Construction,بناء الطريق
day5_page1_topic1_col1,"Morning traffic ground to a halt as crews returned to inspect razor-thin fissures running in straight geometric lines down the asphalt. Foremen knelt beside the splits, baffled by the complete absence of ground settling beneath the fresh pavement.",توقفت حركة المرور الصباحية تمامًا عندما عاد العمال لتفقد شقوق رفيعة للغاية تمتد في خطوط هندسية مستقيمة عبر الأسفلت. وجثا رؤساء العمال بجانب الشقوق، في حيرة من عدم وجود أي علامات على هبوط الأرض أسفل الرصف الجديد
day5_page1_topic1_col2,"By noon, an intense heat radiated upward from the cracks, softening the soles of the workers' rubber boots. Whenever a metal shovel approached the open fissures, a sharp static buzzed through their handheld radios.",وبحلول الظهر، بدأت حرارة شديدة تنبعث من الشقوق إلى الأعلى، مما أدى إلى تليين نعال أحذية العمال المطاطية. وكلما اقترب مجرف معدني من الشقوق المفتوحة، انطلق طنين كهربائي حاد عبر أجهزة الراديو المحمولة الخاصة بهم.
day5_page1_topic1_col3,"By dusk, the road was closed again, the faint smell of hot tar mixing with a sweet, unnatural scent of crushed pine.",ومع حلول الغسق، أُغلق الطريق مرة أخرى، بينما اختلطت رائحة القطران الساخن الخافتة برائحة حلوة وغير طبيعية تشبه الصنوبر المسحوق.
day5_page1_topic2_title,Copper Relay,مرحّل نحاسي
day5_page1_topic2_col1,"At 6:14 PM, the disconnected park payphone began ringing. Anyone picking up heard only the rhythmic clicking of a telegraph key. When the electrician opened the coin box, he found no wiring—only a spool of green thread, humming softly amidst a dusting of silver powder.",في الساعة 6:14 مساءً، بدأ هاتف الدفع العام المنفصل في الحديقة بالرنين. وكل من رفع السماعة لم يسمع سوى نقرات إيقاعية تشبه صوت مفتاح التلغراف. وعندما فتح الكهربائي صندوق العملات، لم يجد أي أسلاك، بل وجد فقط بكرة من الخيط الأخضر، تصدر طنينًا خافتًا وسط طبقة من الغبار الفضي
day5_page1_topic3_title,Schools Mini FIFA,بطولة FIFA المدرسية
day5_page1_topic3_col1,"By morning, an eerie quiet replaced the radio static as students gathered around the empty bulletin board where the tournament schedule usually hung. With neither team holding practice and the final match just forty-eight hours away, the town felt suspended in a heavy, anxious calm.",بطولة FIFA المدرسية
day5_page1_topic4_title,A Cassette,شريط كاسيت
day5_page1_topic4_col1,"Basement microfiche reader switched on, projecting a glowing square onto the brick wall. Its film spun backward, showing 1994 front pages where every headline had been replaced by lines of silver dust.",شريط كاسيت
day5_page1_topic5_title,TheRedMoon,القمر الأحمر
day5_page1_topic5_col1,"And now the time of the awaited night has come, the red night of the moon. We await it tomorrow. Tomorrow we will see the red sky at night, so stay tuned for it!","والآن، لقد حان وقت الليلة المنتظرة، ليلة القمر الأحمر. نحن ننتظرها غدًا. غدًا سنرى السماء الحمراء في الليل، لذا ابقوا على اطلاع!
"
day5_page1_topic6_title,Weather Cast,نشرة الطقس
day5_page1_topic6_col1,"By afternoon, the crisp breeze had turned into a steady, cold wind, carrying that same sweet pine scent across every corner of town. The radio static gave way to an uninterrupted, high-pitched frequency, and beneath the dimming sky, a thin layer of fine golden dust now settled over the freshly paved street","بحلول فترة بعد الظهر، تحولت النسمة الباردة والمنعشة إلى رياح باردة وثابتة، حاملةً رائحة الصنوبر الحلوة نفسها إلى كل زاوية من زوايا البلدة. واختفى تشويش الراديو ليحل محله تردد حاد ومتواصل، وتحت السماء التي بدأت تظلم، استقرت الآن طبقة رقيقة من الغبار الذهبي الناعم فوق الشارع المرصوف حديثًا.
"
day5_page2_topic1_title,The Unspoken Draft,المسودة غير المنطوقة
day5_page2_topic1_col1,"The diner’s old typewriter struck a single line on a paper napkin whenever the front door opened, typing the exact words the person entering had wanted to say years ago but kept buried. By closing time, the counter was covered in scraps smelling of sweet pine, each holding a secret left unsaid.","كانت آلة الكتابة القديمة في المطعم تكتب سطرًا واحدًا على منديل ورقي كلما فُتح الباب الأمامي، وتطبع الكلمات نفسها التي كان الشخص الداخل يرغب في قولها منذ سنوات، لكنه ظل يخفيها في داخله. وبحلول وقت الإغلاق، كان المنضدّة مغطاة بقطع من الورق تفوح منها رائحة الصنوبر الحلو، وكل واحدة منها تحمل سرًا لم يُقل.
"
day5_page2_topic2_title,ClockworkBell,الجرس الآلي
day5_page2_topic2_col1,"At three, the hardware store bell chimed on its own. Customers froze as their shadows stretched toward the back aisle, bathed in the scent of sweet pine.","في الثالثة، رن جرس متجر الأدوات من تلقاء نفسه. وتجمد الزبائن في أماكنهم بينما امتدت ظلالهم نحو الممر الخلفي، وسط رائحة الصنوبر الحلو.
"
day5_page2_topic3_title,Generators!,المولدات!
day5_page2_topic3_col1,"The theft of electric generators continues in Ravenford, an unprecedented event. Authorities have intensified their investigation to solve this strange mystery.",تستمر سرقة المولدات الكهربائية في رافنفورد، في حادثة غير مسبوقة. وقد كثفت السلطات تحقيقاتها لحل هذا اللغز الغريب.
day5_page2_topic4_title,Cemetery Street Mysteries,ألغاز شارع المقبرة
day5_page2_topic4_col1,"The wonders of Ravenford are many, and especially so on Symmetry Street... A citizen reported seeing a strange fog after the streetlight was turned on.","إن عجائب رافنفورد كثيرة، وخاصةً في شارع التناظر... أبلغ أحد المواطنين عن رؤية ضباب غريب بعد تشغيل مصباح الشارع.
"
day5_page2_topic5_title,The Silver Signal,الإشارة الفضية
day5_page2_topic5_col1,"The television in the diner’s corner booth flickered to channel 3, broadcasting a live image of the empty booth itself. On the screen, a fine layer of silver dust drifted through the air, though the seat remained completely clear in the room.","ومض التلفاز الموجود في المقصورة الركنية بالمطعم وانتقل إلى القناة 3، عارضًا صورة حية للمقصورة الفارغة نفسها. وعلى الشاشة، كانت طبقة رقيقة من الغبار الفضي تتساقط في الهواء، رغم أن المقعد ظل خاليًا تمامًا في الغرفة.
"
day5_page3_topic1_title,Kidnapped Employees,الموظفون المختطفون
day5_page3_topic1_col1,"An elderly man who lives near the electricity company in a small house was questioned. He stated that he saw three people leaving the company at night, which was unusual, before the end of the workday, but it did not appear to be a kidnapping at all.","تم استجواب رجل مسن يعيش بالقرب من شركة الكهرباء في منزل صغير. وقال إنه رأى ثلاثة أشخاص يغادرون الشركة ليلًا، وهو أمر غير معتاد، قبل نهاية يوم العمل، لكنه لم يبدُ الأمر وكأنه عملية اختطاف على الإطلاق.
"
day5_page3_topic2_title,A Prisoner Talk,حديث مع سجين
day5_page3_topic2_col1,"One of the inmates at Ravenford prison was questioned and said he smelled a pleasant fragrance on the day of the escape, and that the police officers appeared unusually active. He also testified to seeing an inmate laughing hysterically.",تم استجواب أحد السجناء في سجن رافنفورد، وقال إنه شم رائحة عطرة وممتعة في يوم الهروب، وإن ضباط الشرطة بدوا أكثر نشاطًا من المعتاد. كما شهد بأنه رأى سجينًا يضحك بشكل هستيري
day5_page3_topic3_title,The Static Map,خريطة التشويش
day5_page3_topic3_col1,"The gas station’s illuminated road map flickered whenever a car pulled up to the pumps. Instead of highway routes, its faint blue lines slowly shifted to trace the exact shape of the town as it had been thirty years ago.",كانت خريطة الطريق المضيئة في محطة الوقود تومض كلما توقفت سيارة عند مضخات الوقود. وبدلًا من إظهار مسارات الطرق السريعة، بدأت خطوطها الزرقاء الخافتة تتحرك ببطء لترسم الشكل الدقيق للبلدة كما كانت قبل ثلاثين عامًا.
day5_page3_topic4_title,Clocktower,برج الساعة
day5_page3_topic4_col1,"The high school clocktower struck thirteen times at midnight, its deep chime echoing twice as long as usual. Beneath the tower, the grass was coated in a thin frost of silver dust, perfectly warm to the touch.","دق برج الساعة في المدرسة الثانوية ثلاث عشرة مرة عند منتصف الليل، وتردد صدى دقاته العميقة لمدة ضعف المدة المعتادة. وتحت البرج، كان العشب مغطى بطبقة رقيقة من الصقيع المصنوع من الغبار الفضي، وكان دافئًا تمامًا عند لمسه.
"
day5_page3_topic5_title,SilentBench,المقعد الصامت
day5_page3_topic5_col1,"During basketball practice, the bleachers hummed with a low vibration. Every time the point guard stepped on the court, the scoreboard flickered, displaying scores for a game two days in the future.",أثناء تدريب كرة السلة، أصدرت مدرجات الملعب طنينًا مصحوبًا باهتزاز منخفض. وفي كل مرة يخطو فيها صانع ألعاب الفريق إلى أرض الملعب، كانت لوحة النتائج تومض وتعرض نتائج مباراة ستقام بعد يومين.
day6_page1_topic1_title,Road Construction,أعمال إنشاء الطريق
day6_page1_topic1_col1,"The main road in Ravenford is almost ready to reopen after six days of heavy construction. Government workers have completed most of the repairs, with only a few final tasks remaining. Officials confirmed that the road is expected to open tomorrow.",الطريق الرئيسي في رافنفورد يكاد يكون جاهزًا لإعادة الافتتاح بعد ستة أيام من أعمال البناء المكثفة. وقد أكمل عمال الحكومة معظم الإصلاحات، ولم يتبقَّ سوى بعض المهام النهائية. وأكد المسؤولون أن الطريق من المتوقع أن يُفتح غدًا.
day6_page1_topic1_col2,"Traffic has slowly improved as workers cleared parts of the road. Drivers are still reporting some delays during busy hours, but the situation is much better than earlier this week. Authorities are asking everyone to remain patient until the work is fully finished.",تحسنت حركة المرور تدريجيًا مع قيام العمال بفتح أجزاء من الطريق. ولا يزال السائقون يبلغون عن بعض التأخيرات خلال ساعات الذروة، لكن الوضع أصبح أفضل بكثير مقارنة ببداية هذا الأسبوع. وتطلب السلطات من الجميع التحلي بالصبر حتى تنتهي الأعمال بالكامل.
day6_page1_topic1_col3,"Officials are reviewing losses from the blockage. The affected family awaits compensation, while the food trucks recover financially. Residents look forward to tomorrow’s reopening.",ويقوم المسؤولون بمراجعة الخسائر الناتجة عن إغلاق الطريق. ولا تزال الأسرة المتضررة تنتظر التعويض، بينما تحاول عربات الطعام استعادة وضعها المالي. ويتطلع السكان إلى إعادة افتتاح الطريق غدًا.
day6_page1_topic2_title,A Shop Fire,حريق في متجر
day6_page1_topic2_col1,"A small fire broke out at a local electronics shop late last night after a faulty television overheated. The owner managed to get everyone outside before firefighters arrived, and no one was injured. Several televisions, radios, and cassette players were damaged, leaving the shop closed while repairs are carried.",اندلع حريق صغير في متجر إلكترونيات محلي في وقت متأخر من الليلة الماضية، بعد أن ارتفعت حرارة جهاز تلفاز معطوب بشكل مفرط. وتمكن صاحب المتجر من إخراج الجميع قبل وصول رجال الإطفاء، ولم يُصب أحد بأذى. وتضررت عدة أجهزة تلفاز وراديو وأجهزة كاسيت، مما أدى إلى إغلاق المتجر مؤقتًا بينما تُجرى الإصلاحات.
day6_page1_topic3_title,Schools Mini FIFA,بطولة FIFA المدرسية المصغرة
day6_page1_topic3_col1,"Tomorrow is the final match of the FIFA Mini Schools Cup. Students from all schools are eagerly anticipating this match, as it features two of the strongest teams at the national level. Who will prevail and lift the cup?",غدًا ستكون المباراة النهائية لكأس FIFA المدرسية المصغرة. وينتظر الطلاب من جميع المدارس هذه المباراة بحماس شديد، لأنها تجمع فريقين من أقوى الفرق على المستوى الوطني. فمن سيفوز ويرفع الكأس؟
day6_page1_topic4_title,MadScientist,العالم المجنون
day6_page1_topic4_col1,A citizen confirmed that his neighbor had been imprisoned from two months. His neighbor was obsessed with science and electricity and was planning suspicious things.,أكد أحد المواطنين أن جاره كان قد سُجن منذ شهرين. وكان جاره مهووسًا بالعلوم والكهرباء، وكان يخطط لأشياء مريبة.
day6_page1_topic5_title,TheRedMoon,القمر الأحمر
day6_page1_topic5_col1,"News reports cast doubt on the arrival of the red moon night again tomorrow. We see it tonight with its distinctive red color and beautiful tranquility, but will it surprise us again tomorrow?",تثير التقارير الإخبارية الشكوك حول وصول ليلة القمر الأحمر مرة أخرى غدًا. نراه الليلة بلونه الأحمر المميز وهدوئه الجميل، لكن هل سيفاجئنا مرة أخرى غدًا؟
day6_page1_topic6_title,Weather Cast,نشرة الطقس
day6_page1_topic6_col1,"Ravenford continues to enjoy calm, pleasant weather, with residents and visitors spending more time outdoors. Local businesses are also seeing more activity as visitors arrive to enjoy the week.",تواصل رافنفورد الاستمتاع بطقس هادئ وممتع، مع قضاء السكان والزوار وقتًا أطول في الخارج. كما تشهد الأعمال التجارية المحلية نشاطًا أكبر مع وصول الزوار للاستمتاع بهذا الأسبوع.
day6_page2_topic1_title,A Lost Wallet Found,العثور على محفظة مفقودة
day6_page2_topic1_col1,"A wallet was found yesterday near Ravenford's central bus station. It contained some cash, an old photograph, and several letters, but no identification. The wallet is now being kept at the station office while its owner is being searched for.",عُثر على محفظة أمس بالقرب من محطة الحافلات المركزية في رافنفورد. وكانت تحتوي على بعض النقود، وصورة قديمة، وعدة رسائل، لكنها لم تكن تحتوي على أي إثبات للهوية. وتُحفظ المحفظة الآن في مكتب المحطة بينما يجري البحث عن صاحبها.
day6_page2_topic2_title,Power Outage,انقطاع الكهرباء
day6_page2_topic2_col1,"A brief power outage affected several streets in Ravenford last night. The electricity returned after about an hour, and officials said the cause was a damaged power line. No major problems were reported.",أثر انقطاع قصير للكهرباء على عدة شوارع في رافنفورد الليلة الماضية. وعادت الكهرباء بعد حوالي ساعة، وقال المسؤولون إن السبب كان خط كهرباء تالفًا. ولم يتم الإبلاغ عن أي مشكلات كبيرة.
day6_page2_topic3_title,Generators!,المولدات!
day6_page2_topic3_col1,Three more generators were stolen yesterday. Authorities found traces of an aromatic substance at the scene of one of the thefts. No thefts were reported today... Who's next?,سُرقت ثلاث مولدات كهربائية أخرى أمس. وعثرت السلطات على آثار لمادة عطرية في موقع إحدى عمليات السرقة. لم يتم الإبلاغ عن أي سرقات اليوم... من التالي؟
day6_page2_topic4_title,Strange Noise,ضوضاء غريبة
day6_page2_topic4_col1,"Residents near Oak Street reported hearing a loud noise late last night, causing several people to check outside their homes. Officials inspected the area but found no damage or signs of an accident. They believe the noise may have come from an old machine operating at a nearby workshop.",أبلغ سكان بالقرب من شارع أوك عن سماع ضوضاء عالية في وقت متأخر من الليلة الماضية، مما دفع عدة أشخاص إلى الخروج لتفقد ما يحدث خارج منازلهم. فتش المسؤولون المنطقة، لكنهم لم يجدوا أي أضرار أو علامات تدل على وقوع حادث. ويعتقدون أن الضوضاء ربما جاءت من آلة قديمة كانت تعمل في ورشة قريبة.
day6_page2_topic5_title,A New City Center Arcade ,صالة ألعاب جديدة في وسط المدينة
day6_page2_topic5_col1,"A small arcade has opened near Ravenford's city center, quickly attracting teenagers and families from nearby streets. The arcade currently has several classic machines, with the owner promising to bring in more games and equipment soon. The new business is expected to become a popular place for young residents.",افتتحت صالة ألعاب صغيرة بالقرب من وسط مدينة رافنفورد، وسرعان ما بدأت في جذب المراهقين والعائلات من الشوارع القريبة. تحتوي الصالة حاليًا على عدة أجهزة ألعاب كلاسيكية، مع وعد المالك بإضافة المزيد من الألعاب والمعدات قريبًا. ومن المتوقع أن تصبح هذه المنشأة الجديدة مكانًا شهيرًا بين السكان الشباب.
day6_page3_topic1_title,Kidnapped Employees,الموظفون المختطفون
day6_page3_topic1_col1,"Days after the disappearance of the two electricity company workers, the police found one of them walking on the outskirts of the town. No signs of kidnapping or torture were found, which confirms what the old man said. He is now being questioned.",بعد أيام من اختفاء عاملي شركة الكهرباء، عثرت الشرطة على أحدهما وهو يسير على أطراف البلدة. ولم يتم العثور على أي علامات تدل على الاختطاف أو التعذيب، مما يؤكد ما قاله الرجل العجوز. ويجري استجوابه الآن.
day6_page3_topic2_title,A Prisoner Talk,حديث مع سجين
